,0
11757.G440282466,49942.0
11757.G440104028,49934.0
11757.G440305399,49912.0
11757.G441802476,49873.0
11757.G445224600,49866.0
11757.G441424080,49846.0
11757.G441802621,49831.0
11757.G441502577,49825.0
11757.G440305052,49805.0
11757.G440305513,49770.0
11757.G440282548,49769.0
11757.G441802293,49763.0
11757.G440305208,49757.0
11757.G445302104,49725.0
11757.G440305388,49686.0
11757.G440205500,49678.0
11757.G440981004,49673.0
11757.G440883263,49650.0
11757.G445302322,49633.0
11757.G440104526,49610.0
11757.G445224111,49603.0
11757.G441502258,49587.0
11757.G440305560,49587.0
11757.G440305344,49585.0
11757.G441502480,49578.0
11757.G441802452,49560.0
11757.G441502248,49546.0
11757.G440981400,49535.0
11757.G440981189,49504.0
11757.G440305268,49501.0
11757.G441424164,49500.0
11757.G440305224,49492.0
11757.G440305061,49477.0
11757.G440282539,49474.0
11757.G441502525,49467.0
11757.G440305301,49447.0
11757.G441424239,49420.0
11757.G440305518,49405.0
11757.G440606616,49389.0
11757.G441802295,49381.0
11757.G445224571,49373.0
11757.G441284432,49373.0
11757.G440981474,49352.0
11757.G441502466,49347.0
11757.G440205327,49346.0
11757.G441502438,49319.0
11757.G440883532,49309.0
11757.G441802512,49308.0
11757.G441802534,49300.0
11757.G440282092,49286.0
11757.G441802360,49275.0
11757.G445224515,49264.0
11757.G440883174,49260.0
11757.G440305010,49259.0
11757.G441424547,49254.0
11757.G440104004,49215.0
11757.G441502267,49206.0
11757.G441802237,49190.0
11757.G441502031,49171.0
11757.G441284292,49155.0
11757.G440606359,49132.0
11757.G441502050,49122.0
11757.G440981492,49105.0
11757.G440282085,49089.0
11757.G440305666,49073.0
11757.G445302430,49059.0
11757.G441284354,49035.0
11757.G440305226,49030.0
11757.G440606394,49020.0
11757.G440282165,49015.0
11757.G441802612,48998.0
11757.G441284408,48990.0
11757.G440305494,48973.0
11757.G440883065,48965.0
11757.G441502519,48962.0
11757.G440305009,48960.0
11757.G440104594,48952.0
11757.G445224576,48919.0
11757.G440305574,48904.0
11757.G440205318,48885.0
11757.G440305385,48882.0
11757.G440282182,48867.0
11757.G441303528,48848.0
11757.G440883033,48844.0
11757.G445224044,48833.0
11757.G441802326,48833.0
11757.G440282440,48813.0
11757.G445224553,48809.0
11757.G441284522,48808.0
11757.G440883519,48801.0
11757.G441802611,48789.0
11757.G440305444,48788.0
11757.G440305607,48778.0
11757.G440104058,48776.0
11757.G445224207,48772.0
11757.G440883014,48762.0
11757.G445302290,48740.0
11757.G441802001,48739.0
11757.G440104009,48734.0
11757.G441284320,48732.0
11757.G440305447,48721.0
11757.G441284077,48719.0
11757.G441502508,48712.0
11757.G440305509,48709.0
11757.G440883202,48691.0
11757.G445224569,48663.0
11757.G445302355,48659.0
11757.G440606422,48642.0
