,0
550.L1S248.s.1.sequence,25485.0
550.L2S14.s.2.sequence,25467.0
550.L2S65.s.2.sequence,25466.0
550.L1S44.s.1.sequence,25456.0
550.L2S4.s.2.sequence,25455.0
550.L6S198.s.6.sequence,25450.0
550.L1S268.s.1.sequence,25450.0
550.L6S20.s.6.sequence,25440.0
550.L6S286.s.6.sequence,25435.0
550.L6S173.s.6.sequence,25423.0
550.L6S28.s.6.sequence,25387.0
550.L6S274.s.6.sequence,25386.0
550.L1S23.s.1.sequence,25385.0
550.L6S178.s.6.sequence,25381.0
550.L1S147.s.1.sequence,25359.0
550.L4S108.s.4.sequence,25350.0
550.L6S203.s.6.sequence,25345.0
550.L2S57.s.2.sequence,25308.0
550.L6S7.s.6.sequence,25299.0
550.L2S56.s.2.sequence,25261.0
